n0054
Fri Sep  4 03:19:33 PM EDT 2026
/home/sm3934/miniconda3/envs/rpcrl_env/bin/python
run= 701 seed= 1 env= HalfCheetahCMDP k_epochs 5
env=HalfCheetahCMDP
state_dim=19
action_dim=6
max_action=1.0
max_episode_steps=1000
------use_orthogonal_init------
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:1 	 evaluate_reward:4.725817244352644 	 evaluate_cost:0.0 	 evaluate_max_cost:0.0
New best model found! Saving model with reward: 4.725817244352644 and max cost: 0.0
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 35.014129638671875 tensor(5.2200) 29.794130325317383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 35.014129638671875 tensor(5.2200) 29.794130325317383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 35.014129638671875 tensor(5.2200) 29.794130325317383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 35.014129638671875 tensor(5.2200) 29.794130325317383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 35.014129638671875 tensor(5.2200) 29.794130325317383
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.1484489440918 tensor(6.9267) 46.22178268432617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.1484489440918 tensor(6.9267) 46.22178268432617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.1484489440918 tensor(6.9267) 46.22178268432617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.1484489440918 tensor(6.9267) 46.22178268432617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 53.1484489440918 tensor(6.9267) 46.22178268432617
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.23180389404297 tensor(6.9267) 35.305137634277344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.23180389404297 tensor(6.9267) 35.305137634277344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.23180389404297 tensor(6.9267) 35.305137634277344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.23180389404297 tensor(6.9267) 35.305137634277344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 42.23180389404297 tensor(6.9267) 35.305137634277344
Primal-Dual | lambda, vl_pi, eps, violation = 0.0 44.982421875 tensor(6.9267) 38.055755615234375
